Title,Year,Genre,imdbID,Path
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",tt0080684,images/1980/tt0080684.jpg
Stir Crazy,1980,"Comedy, Crime",tt0081562,images/1980/tt0081562.jpg
Airplane!,1980,Comedy,tt0080339,images/1980/tt0080339.jpg
Any Which Way You Can,1980,"Action, Comedy",tt0080377,images/1980/tt0080377.jpg
Private Benjamin,1980,"Comedy, War",tt0081375,images/1980/tt0081375.jpg
Coal Miner's Daughter,1980,"Biography, Drama, Music",tt0080549,images/1980/tt0080549.jpg
Smokey and the Bandit II,1980,"Action, Comedy",tt0081529,images/1980/tt0081529.jpg
The Blue Lagoon,1980,"Adventure, Drama, Romance",tt0080453,images/1980/tt0080453.jpg
The Blues Brothers,1980,"Action, Comedy, Crime",tt0080455,images/1980/tt0080455.jpg
Ordinary People,1980,Drama,tt0081283,images/1980/tt0081283.jpg
Popeye,1980,"Adventure, Comedy, Family",tt0081353,images/1980/tt0081353.jpg
Urban Cowboy,1980,"Drama, Romance, Western",tt0081696,images/1980/tt0081696.jpg
The Shining,1980,"Drama, Horror",tt0081505,images/1980/tt0081505.jpg
Seems Like Old Times,1980,"Comedy, Romance",tt0081480,images/1980/tt0081480.jpg
Cheech and Chong's Next Movie,1980,"Comedy, Crime, Sci-Fi",tt0080520,images/1980/tt0080520.jpg
Caddyshack,1980,"Comedy, Sport",tt0080487,images/1980/tt0080487.jpg
Brubaker,1980,Drama,tt0080474,images/1980/tt0080474.jpg
Little Darlings,1980,"Comedy, Drama",tt0081060,images/1980/tt0081060.jpg
Dressed to Kill,1980,"Mystery, Thriller",tt0080661,images/1980/tt0080661.jpg
The Jazz Singer,1980,"Drama, Music, Romance",tt0080948,images/1980/tt0080948.jpg
Flash Gordon,1980,"Action, Adventure, Sci-Fi",tt0080745,images/1980/tt0080745.jpg
The Elephant Man,1980,"Biography, Drama",tt0080678,images/1980/tt0080678.jpg
Bronco Billy,1980,"Action, Adventure, Comedy",tt0080472,images/1980/tt0080472.jpg
Raging Bull,1980,"Biography, Drama, Sport",tt0081398,images/1980/tt0081398.jpg
Xanadu,1980,"Fantasy, Musical, Romance",tt0081777,images/1980/tt0081777.jpg
American Gigolo,1980,"Crime, Drama, Mystery",tt0080365,images/1980/tt0080365.jpg
My Bodyguard,1980,"Comedy, Drama, Family",tt0081207,images/1980/tt0081207.jpg
The Fog,1980,"Fantasy, Horror",tt0080749,images/1980/tt0080749.jpg
Altered States,1980,"Horror, Sci-Fi, Thriller",tt0080360,images/1980/tt0080360.jpg
Cruising,1980,"Crime, Mystery, Thriller",tt0080569,images/1980/tt0080569.jpg
The Octagon,1980,"Action, Drama, Romance",tt0081259,images/1980/tt0081259.jpg
Honeysuckle Rose,1980,"Music, Romance, Drama",tt0080888,images/1980/tt0080888.jpg
Herbie Goes Bananas,1980,"Adventure, Comedy, Family",tt0080861,images/1980/tt0080861.jpg
Rough Cut,1980,"Adventure, Comedy, Crime",tt0081439,images/1980/tt0081439.jpg
The Final Countdown,1980,"Action, Sci-Fi",tt0080736,images/1980/tt0080736.jpg
The Hunter,1980,"Action, Biography, Comedy",tt0080907,images/1980/tt0080907.jpg
Hero at Large,1980,"Comedy, Romance",tt0080863,images/1980/tt0080863.jpg
The Long Riders,1980,Western,tt0081071,images/1980/tt0081071.jpg
First Family,1980,Comedy,tt0080739,images/1980/tt0080739.jpg
Prom Night,1980,"Horror, Romance",tt0081383,images/1980/tt0081383.jpg
The Nude Bomb,1980,"Comedy, Crime, Mystery",tt0081249,images/1980/tt0081249.jpg
"Oh, God! Book II",1980,"Comedy, Fantasy",tt0081268,images/1980/tt0081268.jpg
The Competition,1980,"Drama, Romance, Music",tt0080556,images/1980/tt0080556.jpg
Wholly Moses!,1980,"Comedy, Fantasy, History",tt0081751,images/1980/tt0081751.jpg
The Last Married Couple in America,1980,Comedy,tt0081032,images/1980/tt0081032.jpg
Used Cars,1980,Comedy,tt0081698,images/1980/tt0081698.jpg
The Mirror Crack'd,1980,"Crime, Mystery, Thriller",tt0081163,images/1980/tt0081163.jpg
The Last Flight of Noah's Ark,1980,"Adventure, Family",tt0081031,images/1980/tt0081031.jpg
The Fiendish Plot of Dr. Fu Manchu,1980,Comedy,tt0080731,images/1980/tt0080731.jpg
Stardust Memories,1980,"Comedy, Drama",tt0081554,images/1980/tt0081554.jpg
The Hollywood Knights,1980,Comedy,tt0080881,images/1980/tt0080881.jpg
Serial,1980,Comedy,tt0081485,images/1980/tt0081485.jpg
Somewhere in Time,1980,"Drama, Fantasy, Romance",tt0081534,images/1980/tt0081534.jpg
Tribute,1980,"Comedy, Drama",tt0081656,images/1980/tt0081656.jpg
Saturn 3,1980,"Adventure, Sci-Fi, Thriller",tt0079285,images/1980/tt0079285.jpg
The Formula,1980,"Crime, Thriller",tt0080754,images/1980/tt0080754.jpg
The Awakening,1980,Horror,tt0080402,images/1980/tt0080402.jpg
Fatso,1980,"Comedy, Drama, Romance",tt0080724,images/1980/tt0080724.jpg
Foxes,1980,Drama,tt0080756,images/1980/tt0080756.jpg
The Big Red One,1980,"Drama, War",tt0080437,images/1980/tt0080437.jpg
